"","Domain","Year","Pop","Pop2","Elevation","CTmax","CTmin","TTR","Pop4","Tmin_hab","Cool_T"
"1","Blue",2017,"AmpLag","AmpLag17",2115,36.3,7.13,29.17,"AmpLag",12.3153307692308,5.18533076923077
"2","Blue",2017,"AmpLag","AmpLag17",2083,35.1,8.2,26.9,"AmpLag",12.3153307692308,4.11533076923077
"3","Blue",2017,"AmpLag","AmpLag17",2083,35.7,7.34,28.36,"AmpLag",12.3153307692308,4.97533076923077
"4","Blue",2017,"AmpLag","AmpLag17",2082,35.6,8.4,27.2,"AmpLag",12.3153307692308,3.91533076923077
"5","Blue",2017,"AmpLag","AmpLag17",2125,34.9,7.3,27.6,"AmpLag",12.3153307692308,5.01533076923077
"6","Blue",2017,"AmpLag","AmpLag17",2126,35.7,6.9,28.8,"AmpLag",12.3153307692308,5.41533076923077
"7","Blue",2017,"AmpLag","AmpLag17",2122,36.5,7.7,28.8,"AmpLag",12.3153307692308,4.61533076923077
"8","Blue",2017,"AmpLag","AmpLag17",2125,34.8,8.2,26.6,"AmpLag",12.3153307692308,4.11533076923077
"9","Blue",2017,"AmpLag","AmpLag17",2103,35.3,8.5,26.8,"AmpLag",12.3153307692308,3.81533076923077
"10","Red",2017,"RLFlor","RLFlor17",1509,36.1,8.7,27.4,"RLFlor",16.5797080665813,7.8797080665813
"11","Red",2017,"RLFlor","RLFlor17",1508,35.3,8,27.3,"RLFlor",16.5797080665813,8.5797080665813
"12","Red",2017,"RLFlor","RLFlor17",1509,35.4,7.2,28.2,"RLFlor",16.5797080665813,9.3797080665813
"13","Red",2017,"RLFlor","RLFlor17",1508,35.2,8.7,26.5,"RLFlor",16.5797080665813,7.8797080665813
"14","Red",2017,"RLFlor","RLFlor17",1508,34.8,7.1,27.7,"RLFlor",16.5797080665813,9.4797080665813
"15","Red",2017,"RLFlor","RLFlor17",1512,34.3,10.5,23.8,"RLFlor",16.5797080665813,6.0797080665813
"16","Red",2017,"RLFlor","RLFlor17",1516,36.2,6,30.2,"RLFlor",16.5797080665813,10.5797080665813
"17","Red",2017,"RLFlor","RLFlor17",1519,37.1,8.7,28.4,"RLFlor",16.5797080665813,7.8797080665813
"18","Red",2017,"RLFlor","RLFlor17",1520,35,9.2,25.8,"RLFlor",16.5797080665813,7.3797080665813
"28","Yellow",2017,"NBI","NBI17",1169,32.8,14.5,18.3,"NBI",18.5442332912989,4.04423329129887
"29","Yellow",2017,"NBI","NBI17",1170,34.2,9.6,24.6,"NBI",18.5442332912989,8.94423329129887
"30","Yellow",2017,"NBI","NBI17",1186,31.9,18.7,13.2,"NBI",18.5442332912989,0.155766708701133
"31","Yellow",2017,"NBI","NBI17",1162,33.6,9.9,23.7,"NBI",18.5442332912989,8.64423329129887
"32","Yellow",2017,"NBI","NBI17",1162,32.6,6.9,25.7,"NBI",18.5442332912989,11.6442332912989
"33","Yellow",2017,"NBI","NBI17",1142,33.2,8.4,24.8,"NBI",18.5442332912989,10.1442332912989
"34","Yellow",2017,"NBI","NBI17",1181,33.2,13.6,19.6,"NBI",18.5442332912989,4.94423329129887
"35","Yellow",2017,"NBI","NBI17",1184,34.3,11.1,23.2,"NBI",18.5442332912989,7.44423329129887
"36","Yellow",2017,"NBI","NBI17",1136,32.8,8.2,24.6,"NBI",18.5442332912989,10.3442332912989
"37","Yellow",2017,"NBI","NBI17",1116,35.2,7.5,27.7,"NBI",18.5442332912989,11.0442332912989
"38","Yellow",2017,"NBI","NBI17",1074,33.8,12.3,21.5,"NBI",18.5442332912989,6.24423329129887
"39","Yellow",2017,"NBI","NBI17",1074,34.1,9.9,24.2,"NBI",18.5442332912989,8.64423329129887
"40","Yellow",2017,"NBI","NBI17",1078,34.3,7,27.3,"NBI",18.5442332912989,11.5442332912989
"41","Yellow",2017,"NBI","NBI17",1076,34.5,11.2,23.3,"NBI",18.5442332912989,7.34423329129887
"42","Yellow",2017,"NBI","NBI17",1170,34.7,8.6,26.1,"NBI",18.5442332912989,9.94423329129887
"43","Yellow",2017,"NBI","NBI17",1169,33.2,11.9,21.3,"NBI",18.5442332912989,6.64423329129887
"44","Yellow",2017,"NBI","NBI17",1169,32,12.2,19.8,"NBI",18.5442332912989,6.34423329129887
"45","Yellow",2017,"NBI","NBI17",1166,35.8,7,28.8,"NBI",18.5442332912989,11.5442332912989
"46","Yellow",2017,"NBI","NBI17",1166,34.2,7.2,27,"NBI",18.5442332912989,11.3442332912989
"47","Yellow",2017,"CINvaLib","CINvaLib17",1262,33.4,11.7,21.7,"CINvaLib",17.6147784090909,5.91477840909091
"48","Yellow",2017,"CINvaLib","CINvaLib17",1194,33.7,13.6,20.1,"CINvaLib",17.6147784090909,4.01477840909091
"49","Yellow",2017,"CINvaLib","CINvaLib17",1048,32.5,13.7,18.8,"CINvaLib",17.6147784090909,3.91477840909091
"50","Yellow",2017,"CINvaLib","CINvaLib17",1030,33.5,9,24.5,"CINvaLib",17.6147784090909,8.61477840909091
"51","Yellow",2017,"CINvaLib","CINvaLib17",1227,33.2,16.6,16.6,"CINvaLib",17.6147784090909,1.01477840909091
"52","Yellow",2017,"CINvaLib","CINvaLib17",1151,32.2,15.1,17.1,"CINvaLib",17.6147784090909,2.51477840909091
"53","Yellow",2017,"CINvaLib","CINvaLib17",1150,31,8,23,"CINvaLib",17.6147784090909,9.61477840909091
"54","Yellow",2017,"CINvaLib","CINvaLib17",1150,32.2,12.3,19.9,"CINvaLib",17.6147784090909,5.31477840909091
"55","Yellow",2017,"CINvaLib","CINvaLib17",1168,34.1,9,25.1,"CINvaLib",17.6147784090909,8.61477840909091
"56","Yellow",2017,"CINvaLib","CINvaLib17",1207,31.8,11.6,20.2,"CINvaLib",17.6147784090909,6.01477840909091
"57","Green",2017,"NvaLib","NvaLib17",721,34.3,7.3,27,"NvaLib",20.5258549618321,13.2258549618321
"58","Green",2017,"NvaLib","NvaLib17",721,33.9,9.8,24.1,"NvaLib",20.5258549618321,10.7258549618321
"59","Green",2017,"NvaLib","NvaLib17",721,33.7,9.6,24.1,"NvaLib",20.5258549618321,10.9258549618321
"60","Green",2017,"NvaLib","NvaLib17",718,34.4,7.6,26.8,"NvaLib",20.5258549618321,12.9258549618321
"61","Green",2017,"NvaLib","NvaLib17",713,34.8,9.7,25.1,"NvaLib",20.5258549618321,10.8258549618321
"62","Green",2017,"NvaLib","NvaLib17",688,34.5,9.6,24.9,"NvaLib",20.5258549618321,10.9258549618321
"63","Green",2017,"NvaLib","NvaLib17",723,33.8,9.2,24.6,"NvaLib",20.5258549618321,11.3258549618321
"64","Green",2017,"NvaLib","NvaLib17",727,33.3,9.6,23.7,"NvaLib",20.5258549618321,10.9258549618321
"65","Green",2017,"NvaLib","NvaLib17",747,33.8,9.2,24.6,"NvaLib",20.5258549618321,11.3258549618321
"66","Green",2017,"GnalNB","GNBII17",251,34.8,8.6,26.2,"GnalNB",22.2426852861035,13.6426852861035
"67","Green",2017,"GnalNB","GNBII17",264,35.6,7.9,27.7,"GnalNB",22.2426852861035,14.3426852861035
"68","Green",2017,"GnalNB","GNBII17",242,34.6,7.3,27.3,"GnalNB",22.2426852861035,14.9426852861035
"69","Green",2017,"GnalNB","GNBII17",250,35.4,8.1,27.3,"GnalNB",22.2426852861035,14.1426852861035
"70","Green",2017,"GnalNB","GNBII17",242,36,8.2,27.8,"GnalNB",22.2426852861035,14.0426852861035
"71","Green",2017,"GnalNB","GNBII17",263,34.5,7.9,26.6,"GnalNB",22.2426852861035,14.3426852861035
"72","Green",2017,"GnalNB","GNBII17",247,34.6,7.8,26.8,"GnalNB",22.2426852861035,14.4426852861035
"73","Green",2017,"GnalNB","GNBII17",230,34.7,7.5,27.2,"GnalNB",22.2426852861035,14.7426852861035
"74","Green",2017,"GnalNB","GNBII17",247,34.8,8.2,26.6,"GnalNB",22.2426852861035,14.0426852861035
"75","Green",2017,"GnalNB","GNBII17",247,35.3,8.3,27,"GnalNB",22.2426852861035,13.9426852861035
"76","Green",2017,"SatMor","SatMor17",314,35.2,6.9,28.3,"SatMor",21.5290053571429,14.6290053571429
"77","Green",2017,"SatMor","SatMor17",314,33.5,8.2,25.3,"SatMor",21.5290053571429,13.3290053571429
"78","Green",2017,"SatMor","SatMor17",315,34.2,7.5,26.7,"SatMor",21.5290053571429,14.0290053571429
"79","Green",2017,"SatMor","SatMor17",317,34.6,5.8,28.8,"SatMor",21.5290053571429,15.7290053571429
"80","Orange",2017,"PlanLib","PlanLib17",794,27.8,11.3,16.5,"PlanLib",17.0960325581395,5.79603255813953
"81","Orange",2017,"PlanLib","PlanLib17",868,29.7,10.4,19.3,"PlanLib",17.0960325581395,6.69603255813953
"82","Orange",2017,"PlanLib","PlanLib17",868,33.8,8.7,25.1,"PlanLib",17.0960325581395,8.39603255813953
"83","Orange",2017,"PlanLib","PlanLib17",921,30.6,15,15.6,"PlanLib",17.0960325581395,2.09603255813953
"84","Orange",2017,"PlanLib","PlanLib17",928,31.6,10.3,21.3,"PlanLib",17.0960325581395,6.79603255813953
"85","Orange",2017,"PlanLib","PlanLib17",927,33.2,11.8,21.4,"PlanLib",17.0960325581395,5.29603255813953
"86","Orange",2017,"PlanLib","PlanLib17",922,30.6,13.7,16.9,"PlanLib",17.0960325581395,3.39603255813953
"87","Orange",2017,"PlanLib","PlanLib17",909,30.2,13.8,16.4,"PlanLib",17.0960325581395,3.29603255813953
"88","Orange",2017,"PlanLib","PlanLib17",916,30.8,13.2,17.6,"PlanLib",17.0960325581395,3.89603255813953
"89","Orange",2017,"PlanLib","PlanLib17",922,31.3,12.9,18.4,"PlanLib",17.0960325581395,4.19603255813953
"90","Orange",2017,"PlanLib","PlanLib17",924,30.3,11.4,18.9,"PlanLib",17.0960325581395,5.69603255813953
"91","Green",2017,"GnalNB_II","GNBII17_II",120,36.5,8.8,27.7,"GnalNB_II",22.2426852861035,13.4426852861035
"92","Green",2017,"GnalNB_II","GNBII17_II",120,35.6,9.2,26.4,"GnalNB_II",22.2426852861035,13.0426852861035
"93","Green",2017,"GnalNB_II","GNBII17_II",120,36.4,7.9,28.5,"GnalNB_II",22.2426852861035,14.3426852861035
"94","Green",2017,"GnalNB_II","GNBII17_II",120,35.4,9.3,26.1,"GnalNB_II",22.2426852861035,12.9426852861035
"95","Green",2017,"GnalNB_II","GNBII17_II",120,36.2,8.5,27.7,"GnalNB_II",22.2426852861035,13.7426852861035
"96","Orange",2018,"Palestina","Pales18",700,34.6,10.8,23.8,"Palestina",18.6845661157025,7.88456611570248
"97","Orange",2018,"Palestina","Pales18",722,35.6,7.3,28.3,"Palestina",18.6845661157025,11.3845661157025
"98","Orange",2018,"Palestina","Pales18",736,NA,7.2,NA,"Palestina",18.6845661157025,11.4845661157025
"99","Orange",2018,"Palestina","Pales18",733,35.2,7.7,27.5,"Palestina",18.6845661157025,10.9845661157025
"100","Orange",2018,"Palestina","Pales18",746,36,6.9,29.1,"Palestina",18.6845661157025,11.7845661157025
"101","Orange",2018,"Palestina","Pales18",728,35.1,6.6,28.5,"Palestina",18.6845661157025,12.0845661157025
"102","Orange",2018,"Palestina","Pales18",750,NA,7.2,NA,"Palestina",18.6845661157025,11.4845661157025
"103","Orange",2018,"Palestina","Pales18",751,32,7.9,24.1,"Palestina",18.6845661157025,10.7845661157025
"104","Orange",2018,"Palestina","Pales18",752,35.5,7.8,27.7,"Palestina",18.6845661157025,10.8845661157025
"105","Red",2018,"LagLon","LagLon18",1433,34.1,10.1,24,"LagLon",15.9709803370787,5.87098033707865
"106","Red",2018,"LagLon","LagLon18",1456,34.2,9.9,24.3,"LagLon",15.9709803370787,6.07098033707865
"107","Red",2018,"LagLon","LagLon18",1457,33.5,10.8,22.7,"LagLon",15.9709803370787,5.17098033707865
"108","Red",2018,"LagLon","LagLon18",1454,33.6,8.4,25.2,"LagLon",15.9709803370787,7.57098033707865
"109","Red",2018,"LagLon","LagLon18",1468,35.4,9.3,26.1,"LagLon",15.9709803370787,6.67098033707865
"110","Red",2018,"LagLon","LagLon18",1479,32.6,10.8,21.8,"LagLon",15.9709803370787,5.17098033707865
"111","Red",2018,"LagLon","LagLon18",1490,33.8,8.1,25.7,"LagLon",15.9709803370787,7.87098033707865
"112","Red",2018,"LagLon","LagLon18",1492,34.7,9.8,24.9,"LagLon",15.9709803370787,6.17098033707865
"113","Red",2018,"LagLon","LagLon18",1514,32.9,9.5,23.4,"LagLon",15.9709803370787,6.47098033707865
"114","Red",2018,"LagLon","LagLon18",1523,32.9,8.9,24,"LagLon",15.9709803370787,7.07098033707865
"115","Red",2018,"LagLon","LagLon18",1524,32.3,8.5,23.8,"LagLon",15.9709803370787,7.47098033707865
"116","Red",2018,"LagLon","LagLon18",1518,32,8.6,23.4,"LagLon",15.9709803370787,7.37098033707865
"117","Red",2018,"Palmas","Palm18",1352,34.3,10.1,24.2,"Palmas",15.9709803370787,5.87098033707865
"118","Red",2018,"Palmas","Palm18",1360,32.4,9.9,22.5,"Palmas",15.9709803370787,6.07098033707865
"119","Red",2018,"Palmas","Palm18",1367,33.5,10.1,23.4,"Palmas",15.9709803370787,5.87098033707865
"120","Red",2018,"Palmas","Palm18",1358,34.7,8.9,25.8,"Palmas",15.9709803370787,7.07098033707865
"121","Red",2018,"Palmas","Palm18",1363,32.4,10.4,22,"Palmas",15.9709803370787,5.57098033707865
"122","Red",2018,"Palmas","Palm18",1393,32.8,9.9,22.9,"Palmas",15.9709803370787,6.07098033707865
"123","Red",2018,"Palmas","Palm18",1392,31.7,10.4,21.3,"Palmas",15.9709803370787,5.57098033707865
"124","Red",2018,"Palmas","Palm18",1390,33.5,9.2,24.3,"Palmas",15.9709803370787,6.77098033707865
"125","Red",2018,"Palmas","Palm18",1389,34.3,9.1,25.2,"Palmas",15.9709803370787,6.87098033707865
"126","Red",2018,"Palmas","Palm18",1402,32.8,8.4,24.4,"Palmas",15.9709803370787,7.57098033707865
"127","Red",2018,"Palmas","Palm18",1403,33.5,7.8,25.7,"Palmas",15.9709803370787,8.17098033707865
"128","Orange",2018,"SalUrb","SalUrb18",854,31.9,8.6,23.3,"SalUrb",18.3451875,9.7451875
"129","Orange",2018,"SalUrb","SalUrb18",884,33.7,9.5,24.2,"SalUrb",18.3451875,8.8451875
"130","Orange",2018,"SalUrb","SalUrb18",883,33.5,8.6,24.9,"SalUrb",18.3451875,9.7451875
"131","Orange",2018,"SalUrb","SalUrb18",874,34.6,8.5,26.1,"SalUrb",18.3451875,9.8451875
"132","Orange",2018,"SalUrb","SalUrb18",786,35.8,7.8,28,"SalUrb",18.3451875,10.5451875
"133","Orange",2018,"SalUrb","SalUrb18",804,33.8,9.8,24,"SalUrb",18.3451875,8.5451875
"134","Orange",2018,"SalUrb","SalUrb18",810,32.6,7.9,24.7,"SalUrb",18.3451875,10.4451875
"135","Orange",2018,"SalUrb","SalUrb18",815,NA,7,NA,"SalUrb",18.3451875,11.3451875
"136","Orange",2018,"SalUrb","SalUrb18",812,32.9,NA,NA,"SalUrb",18.3451875,NA
"137","Orange",2018,"SalUrb","SalUrb18",790,33.2,7.3,25.9,"SalUrb",18.3451875,11.0451875
"138","Orange",2018,"SalUrb","SalUrb18",891,30.9,8.2,22.7,"SalUrb",18.3451875,10.1451875
"139","Yellow",2018,"NBI","NBI18",1135,37.2,12.4,24.8,"NBI",18.5442332912989,6.14423329129887
"140","Yellow",2018,"NBI","NBI18",1087,34.5,10.9,23.6,"NBI",18.5442332912989,7.64423329129887
"141","Yellow",2018,"NBI","NBI18",1083,32.4,11.2,21.2,"NBI",18.5442332912989,7.34423329129887
"142","Yellow",2018,"NBI","NBI18",1144,34.2,9.8,24.4,"NBI",18.5442332912989,8.74423329129887
"143","Yellow",2018,"NBI","NBI18",1147,33.1,9.2,23.9,"NBI",18.5442332912989,9.34423329129887
"144","Yellow",2018,"NBI","NBI18",1193,34.5,8.1,26.4,"NBI",18.5442332912989,10.4442332912989
"145","Yellow",2018,"NBI","NBI18",1122,33.3,9.8,23.5,"NBI",18.5442332912989,8.74423329129887
"146","Yellow",2018,"NBI","NBI18",1130,33.6,10.9,22.7,"NBI",18.5442332912989,7.64423329129887
"147","Yellow",2018,"NBI","NBI18",1063,33.4,9.6,23.8,"NBI",18.5442332912989,8.94423329129887
"148","Yellow",2018,"NBI","NBI18",1127,33.5,10.2,23.3,"NBI",18.5442332912989,8.34423329129887
"149","Yellow",2018,"NBI","NBI18",1151,33.6,9.2,24.4,"NBI",18.5442332912989,9.34423329129887
"150","Yellow",2018,"NBI","NBI18",1199,33.5,9,24.5,"NBI",18.5442332912989,9.54423329129887
"151","Yellow",2018,"CINvaLib","CINvaLib18",1295,34,11.1,22.9,"CINvaLib",17.6147784090909,6.51477840909091
"152","Yellow",2018,"CINvaLib","CINvaLib18",1291,33,11.2,21.8,"CINvaLib",17.6147784090909,6.41477840909091
"153","Yellow",2018,"CINvaLib","CINvaLib18",1282,33.4,9.9,23.5,"CINvaLib",17.6147784090909,7.71477840909091
"154","Yellow",2018,"CINvaLib","CINvaLib18",1268,33,11.2,21.8,"CINvaLib",17.6147784090909,6.41477840909091
"155","Yellow",2018,"CINvaLib","CINvaLib18",1253,33,12,21,"CINvaLib",17.6147784090909,5.61477840909091
"156","Yellow",2018,"CINvaLib","CINvaLib18",1201,34.6,10.4,24.2,"CINvaLib",17.6147784090909,7.21477840909091
"157","Yellow",2018,"CINvaLib","CINvaLib18",1182,35.2,9.4,25.8,"CINvaLib",17.6147784090909,8.21477840909091
"158","Yellow",2018,"CINvaLib","CINvaLib18",1155,33,9.1,23.9,"CINvaLib",17.6147784090909,8.51477840909091
"159","Yellow",2018,"CINvaLib","CINvaLib18",1130,33.6,8.5,25.1,"CINvaLib",17.6147784090909,9.11477840909091
"160","Yellow",2018,"CINvaLib","CINvaLib18",1125,32.1,9.4,22.7,"CINvaLib",17.6147784090909,8.21477840909091
"161","Yellow",2018,"CINvaLib","CINvaLib18",1086,33.8,12,21.8,"CINvaLib",17.6147784090909,5.61477840909091
"162","Green",2018,"NvaLib","NvaLib18",727,34.2,9.8,24.4,"NvaLib",20.5258549618321,10.7258549618321
"163","Green",2018,"NvaLib","NvaLib18",842,34.9,9.3,25.6,"NvaLib",20.5258549618321,11.2258549618321
"164","Green",2018,"NvaLib","NvaLib18",828,32.6,10.3,22.3,"NvaLib",20.5258549618321,10.2258549618321
"165","Green",2018,"NvaLib","NvaLib18",828,32.7,9.7,23,"NvaLib",20.5258549618321,10.8258549618321
"166","Green",2018,"NvaLib","NvaLib18",826,32.2,9.6,22.6,"NvaLib",20.5258549618321,10.9258549618321
"167","Green",2018,"NvaLib","NvaLib18",825,34.1,9.6,24.5,"NvaLib",20.5258549618321,10.9258549618321
"168","Green",2018,"NvaLib","NvaLib18",846,29.4,9.3,20.1,"NvaLib",20.5258549618321,11.2258549618321
"169","Green",2018,"NvaLib","NvaLib18",824,32.7,9.5,23.2,"NvaLib",20.5258549618321,11.0258549618321
"170","Green",2018,"NvaLib","NvaLib18",835,32.6,10.5,22.1,"NvaLib",20.5258549618321,10.0258549618321
"171","Green",2018,"NvaLib","NvaLib18",828,33.9,9.9,24,"NvaLib",20.5258549618321,10.6258549618321
"175","Red",2018,"RLFlor","RLFlor18",1397,34.7,10.1,24.6,"RLFlor",16.5797080665813,6.4797080665813
"176","Red",2018,"RLFlor","RLFlor18",1459,34.2,8.6,25.6,"RLFlor",16.5797080665813,7.9797080665813
"177","Red",2018,"RLFlor","RLFlor18",1494,34.8,8.5,26.3,"RLFlor",16.5797080665813,8.0797080665813
"178","Red",2018,"RLFlor","RLFlor18",1390,35.7,8.6,27.1,"RLFlor",16.5797080665813,7.9797080665813
"179","Red",2018,"RLFlor","RLFlor18",1415,NA,9.8,NA,"RLFlor",16.5797080665813,6.7797080665813
"180","Red",2018,"RLFlor","RLFlor18",1416,33.1,11.2,21.9,"RLFlor",16.5797080665813,5.3797080665813
"181","Red",2018,"RLFlor","RLFlor18",1416,32.1,12.3,19.8,"RLFlor",16.5797080665813,4.2797080665813
"182","Yellow",2018,"LaLoma","LaLoma18",1300,35.9,6.2,29.7,"LaLoma",17.2586425061425,11.0586425061425
"183","Yellow",2018,"LaLoma","LaLoma18",1299,35.6,7.2,28.4,"LaLoma",17.2586425061425,10.0586425061425
"184","Yellow",2018,"LaLoma","LaLoma18",1295,34,8.3,25.7,"LaLoma",17.2586425061425,8.95864250614251
"185","Yellow",2018,"LaLoma","LaLoma18",1310,35.9,10.2,25.7,"LaLoma",17.2586425061425,7.05864250614251
"186","Yellow",2018,"LaLoma","LaLoma18",1299,35.8,6.8,29,"LaLoma",17.2586425061425,10.4586425061425
"187","Yellow",2018,"LaLoma","LaLoma18",1298,36.6,7.6,29,"LaLoma",17.2586425061425,9.65864250614251
