"","Domain","Elevation","Year","Pop","Pop2","Indv","n","Temperature"
"1","Green",251,2017,"GNBII","GNBII17","GnalNBII_1","Temp1",23.2
"2","Green",264,2017,"GNBII","GNBII17","GnalNBII_2","Temp1",20.4
"3","Green",242,2017,"GNBII","GNBII17","GnalNBII_3","Temp1",21
"4","Green",250,2017,"GNBII","GNBII17","GnalNBII_4","Temp1",20
"5","Green",242,2017,"GNBII","GNBII17","GnalNBII_5","Temp1",20.9
"6","Green",263,2017,"GNBII","GNBII17","GnalNBII_6","Temp1",21.8
"7","Green",247,2017,"GNBII","GNBII17","GnalNBII_7","Temp1",20.4
"8","Green",230,2017,"GNBII","GNBII17","GnalNBII_8","Temp1",20.1
"9","Green",247,2017,"GNBII","GNBII17","GnalNBII_9","Temp1",22.4
"10","Green",247,2017,"GNBII","GNBII17","GnalNBII_10","Temp1",20.1
"11","Green",293,2017,"SatMor","SatMor17","SatMor_1","Temp1",22.6
"12","Green",310,2017,"SatMor","SatMor17","SatMor_2","Temp1",21.5
"13","Green",316,2017,"SatMor","SatMor17","SatMor_3","Temp1",16.5
"14","Green",314,2017,"SatMor","SatMor17","SatMor_4","Temp1",21.9
"15","Green",317,2017,"SatMor","SatMor17","SatMor_5","Temp1",21.6
"16","Green",312,2017,"SatMor","SatMor17","SatMor_6","Temp1",21.9
"17","Green",312,2017,"SatMor","SatMor17","SatMor_7","Temp1",18
"18","Green",305,2017,"SatMor","SatMor17","SatMor_8","Temp1",21.8
"19","Green",307,2017,"SatMor","SatMor17","SatMor_9","Temp1",24.5
"20","Green",307,2017,"SatMor","SatMor17","SatMor_10","Temp1",22.7
"21","Green",717,2017,"NvaLib","NvaLib17","NvaLib_1","Temp1",20
"22","Green",721,2017,"NvaLib","NvaLib17","NvaLib_2","Temp1",20.2
"23","Green",721,2017,"NvaLib","NvaLib17","NvaLib_3","Temp1",19.6
"24","Green",721,2017,"NvaLib","NvaLib17","NvaLib_4","Temp1",22.9
"25","Green",718,2017,"NvaLib","NvaLib17","NvaLib_5","Temp1",NA
"26","Green",713,2017,"NvaLib","NvaLib17","NvaLib_6","Temp1",19.4
"27","Green",688,2017,"NvaLib","NvaLib17","NvaLib_7","Temp1",21.5
"28","Green",723,2017,"NvaLib","NvaLib17","NvaLib_8","Temp1",22.5
"29","Green",727,2017,"NvaLib","NvaLib17","NvaLib_9","Temp1",20.6
"30","Green",747,2017,"NvaLib","NvaLib17","NvaLib_10","Temp1",24
"31","Green",729,2017,"NvaLib","NvaLib17","NvaLib_11","Temp1",26.5
"32","Orange",794,2017,"PlanLib","PlanLib17","PlanLib_1","Temp1",19.2
"33","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_2","Temp1",19.2
"34","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_3","Temp1",16.9
"35","Orange",921,2017,"PlanLib","PlanLib17","PlanLib_4","Temp1",19.1
"36","Orange",928,2017,"PlanLib","PlanLib17","PlanLib_5","Temp1",24.3
"37","Orange",930,2017,"PlanLib","PlanLib17","PlanLib_6","Temp1",19.7
"38","Orange",927,2017,"PlanLib","PlanLib17","PlanLib_7","Temp1",19
"39","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_8","Temp1",22.5
"40","Orange",909,2017,"PlanLib","PlanLib17","PlanLib_9","Temp1",19
"41","Orange",916,2017,"PlanLib","PlanLib17","PlanLib_10","Temp1",22
"42","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_11","Temp1",18.3
"43","Orange",924,2017,"PlanLib","PlanLib17","PlanLib_12","Temp1",20.2
"44","Orange",1083,2017,"ArrNeg","ArrNeg17","ArrNeg_1","Temp1",24
"45","Orange",1093,2017,"ArrNeg","ArrNeg17","ArrNeg_2","Temp1",21
"46","Orange",1083,2017,"ArrNeg","ArrNeg17","ArrNeg_3","Temp1",22.2
"47","Orange",1093,2017,"ArrNeg","ArrNeg17","ArrNeg_4","Temp1",21.5
"48","Orange",1009,2017,"ArrNeg","ArrNeg17","ArrNeg_5","Temp1",22.3
"49","Orange",1075,2017,"ArrNeg","ArrNeg17","ArrNeg_6","Temp1",23.7
"50","Orange",1076,2017,"ArrNeg","ArrNeg17","ArrNeg_7","Temp1",22.7
"51","Yellow",1262,2017,"CINvaLib","CINvaLib17","CINvLib1","Temp1",24.9
"52","Yellow",1256,2017,"CINvaLib","CINvaLib17","CINvLib2","Temp1",24.8
"53","Yellow",1048,2017,"CINvaLib","CINvaLib17","CINvLib3","Temp1",25
"54","Yellow",1030,2017,"CINvaLib","CINvaLib17","CINvLib4","Temp1",24.1
"55","Yellow",1227,2017,"CINvaLib","CINvaLib17","CINvLib5","Temp1",24.2
"56","Yellow",1151,2017,"CINvaLib","CINvaLib17","CINvLib6","Temp1",24.2
"57","Yellow",1150,2017,"CINvaLib","CINvaLib17","CINvLib7","Temp1",24.2
"58","Yellow",1150,2017,"CINvaLib","CINvaLib17","CINvLib8","Temp1",25.4
"59","Yellow",1168,2017,"CINvaLib","CINvaLib17","CINvLib9","Temp1",23.6
"60","Yellow",1207,2017,"CINvaLib","CINvaLib17","CINvLib10","Temp1",24.3
"61","Yellow",1194,2017,"CINvaLib","CINvaLib17","CINvLib11","Temp1",24.8
"62","Yellow",1150,2017,"CINvaLib","CINvaLib17","CINvLib12","Temp1",25.5
"63","Yellow",1169,2017,"NBI","NBI17","NBravo_1","Temp1",17
"64","Yellow",1170,2017,"NBI","NBI17","NBravo_2","Temp1",17.2
"65","Yellow",1186,2017,"NBI","NBI17","NBravo_3","Temp1",18.9
"66","Yellow",1162,2017,"NBI","NBI17","NBravo_4","Temp1",19.6
"67","Yellow",1162,2017,"NBI","NBI17","NBravo_5","Temp1",16.8
"68","Yellow",1142,2017,"NBI","NBI17","NBravo_6","Temp1",NA
"69","Yellow",1181,2017,"NBI","NBI17","NBravo_7","Temp1",19.6
"70","Yellow",1184,2017,"NBI","NBI17","NBravo_8","Temp1",21.6
"71","Yellow",1136,2017,"NBI","NBI17","NBravo_9","Temp1",17.9
"72","Yellow",1116,2017,"NBI","NBI17","NBravo_10","Temp1",19.3
"73","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_1","Temp1",22.1
"74","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_2","Temp1",22.5
"75","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_3","Temp1",23
"76","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_4","Temp1",23.9
"77","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_5","Temp1",22.5
"78","Yellow",1296,2017,"LaLoma","LaLoma17","LaLom_6","Temp1",NA
"79","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_7","Temp1",24.5
"80","Yellow",1309,2017,"LaLoma","LaLoma17","LaLom_8","Temp1",24.4
"81","Yellow",1305,2017,"LaLoma","LaLoma17","LaLom_9","Temp1",22.2
"82","Yellow",1310,2017,"LaLoma","LaLoma17","LaLom_10","Temp1",21.9
"83","Red",1509,2017,"RLFlor","RLFlor17","RLaFlor_1","Temp1",24.6
"84","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_2","Temp1",24.9
"85","Red",1509,2017,"RLFlor","RLFlor17","RLaFlor_3","Temp1",22.7
"86","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_4","Temp1",24.6
"87","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_5","Temp1",23.3
"88","Red",1512,2017,"RLFlor","RLFlor17","RLaFlor_6","Temp1",21.6
"89","Red",1516,2017,"RLFlor","RLFlor17","RLaFlor_7","Temp1",23.3
"90","Red",1519,2017,"RLFlor","RLFlor17","RLaFlor_8","Temp1",23.6
"91","Red",1520,2017,"RLFlor","RLFlor17","RLaFlor_9","Temp1",25.8
"92","Red",1520,2017,"RLFlor","RLFlor17","RLaFlor_10","Temp1",23.5
"93","Blue",2116,2017,"AmpLag","AmpLag17","Amp_Lag1","Temp1",22.9
"94","Blue",2115,2017,"AmpLag","AmpLag17","Amp_Lag2","Temp1",22.5
"95","Blue",2083,2017,"AmpLag","AmpLag17","Amp_Lag3","Temp1",24.9
"96","Blue",2083,2017,"AmpLag","AmpLag17","Amp_Lag4","Temp1",27.5
"97","Blue",2082,2017,"AmpLag","AmpLag17","Amp_Lag5","Temp1",23.8
"98","Blue",2125,2017,"AmpLag","AmpLag17","Amp_Lag6","Temp1",25.7
"99","Blue",2126,2017,"AmpLag","AmpLag17","Amp_Lag7","Temp1",23.7
"100","Blue",2122,2017,"AmpLag","AmpLag17","Amp_Lag8","Temp1",25.8
"101","Blue",2125,2017,"AmpLag","AmpLag17","Amp_Lag9","Temp1",27.2
"102","Blue",2103,2017,"AmpLag","AmpLag17","Amp_Lag10","Temp1",25.5
"103","Blue",2131,2017,"AmpLag","AmpLag17","Amp_Lag11","Temp1",26.2
"104","Blue",2130,2017,"AmpLag","AmpLag17","Amp_Lag12","Temp1",28.9
"105","Green",251,2017,"GNBII","GNBII17","GnalNBII_1","Temp2",20.1
"106","Green",264,2017,"GNBII","GNBII17","GnalNBII_2","Temp2",21
"107","Green",242,2017,"GNBII","GNBII17","GnalNBII_3","Temp2",21.6
"108","Green",250,2017,"GNBII","GNBII17","GnalNBII_4","Temp2",20.2
"109","Green",242,2017,"GNBII","GNBII17","GnalNBII_5","Temp2",20
"110","Green",263,2017,"GNBII","GNBII17","GnalNBII_6","Temp2",20.2
"111","Green",247,2017,"GNBII","GNBII17","GnalNBII_7","Temp2",20.3
"112","Green",230,2017,"GNBII","GNBII17","GnalNBII_8","Temp2",20.8
"113","Green",247,2017,"GNBII","GNBII17","GnalNBII_9","Temp2",25
"114","Green",247,2017,"GNBII","GNBII17","GnalNBII_10","Temp2",21.2
"115","Green",293,2017,"SatMor","SatMor17","SatMor_1","Temp2",24.2
"116","Green",310,2017,"SatMor","SatMor17","SatMor_2","Temp2",23.5
"117","Green",316,2017,"SatMor","SatMor17","SatMor_3","Temp2",24.3
"118","Green",314,2017,"SatMor","SatMor17","SatMor_4","Temp2",23
"119","Green",317,2017,"SatMor","SatMor17","SatMor_5","Temp2",23.7
"120","Green",312,2017,"SatMor","SatMor17","SatMor_6","Temp2",21.9
"121","Green",312,2017,"SatMor","SatMor17","SatMor_7","Temp2",19.8
"122","Green",305,2017,"SatMor","SatMor17","SatMor_8","Temp2",21.8
"123","Green",307,2017,"SatMor","SatMor17","SatMor_9","Temp2",22.7
"124","Green",307,2017,"SatMor","SatMor17","SatMor_10","Temp2",25.8
"125","Green",717,2017,"NvaLib","NvaLib17","NvaLib_1","Temp2",18.1
"126","Green",721,2017,"NvaLib","NvaLib17","NvaLib_2","Temp2",20.3
"127","Green",721,2017,"NvaLib","NvaLib17","NvaLib_3","Temp2",22.6
"128","Green",721,2017,"NvaLib","NvaLib17","NvaLib_4","Temp2",20.4
"129","Green",718,2017,"NvaLib","NvaLib17","NvaLib_5","Temp2",20.5
"130","Green",713,2017,"NvaLib","NvaLib17","NvaLib_6","Temp2",21.6
"131","Green",688,2017,"NvaLib","NvaLib17","NvaLib_7","Temp2",21.8
"132","Green",723,2017,"NvaLib","NvaLib17","NvaLib_8","Temp2",23.6
"133","Green",727,2017,"NvaLib","NvaLib17","NvaLib_9","Temp2",26.6
"134","Green",747,2017,"NvaLib","NvaLib17","NvaLib_10","Temp2",22.5
"135","Green",729,2017,"NvaLib","NvaLib17","NvaLib_11","Temp2",17.1
"136","Orange",794,2017,"PlanLib","PlanLib17","PlanLib_1","Temp2",19.7
"137","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_2","Temp2",21.3
"138","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_3","Temp2",23.3
"139","Orange",921,2017,"PlanLib","PlanLib17","PlanLib_4","Temp2",23.2
"140","Orange",928,2017,"PlanLib","PlanLib17","PlanLib_5","Temp2",24.8
"141","Orange",930,2017,"PlanLib","PlanLib17","PlanLib_6","Temp2",19.6
"142","Orange",927,2017,"PlanLib","PlanLib17","PlanLib_7","Temp2",19.9
"143","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_8","Temp2",21.8
"144","Orange",909,2017,"PlanLib","PlanLib17","PlanLib_9","Temp2",22.8
"145","Orange",916,2017,"PlanLib","PlanLib17","PlanLib_10","Temp2",24
"146","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_11","Temp2",19.6
"147","Orange",924,2017,"PlanLib","PlanLib17","PlanLib_12","Temp2",22.1
"148","Orange",1083,2017,"ArrNeg","ArrNeg17","ArrNeg_1","Temp2",22.7
"149","Orange",1093,2017,"ArrNeg","ArrNeg17","ArrNeg_2","Temp2",20.5
"150","Orange",1083,2017,"ArrNeg","ArrNeg17","ArrNeg_3","Temp2",22.8
"151","Orange",1093,2017,"ArrNeg","ArrNeg17","ArrNeg_4","Temp2",21.9
"152","Orange",1009,2017,"ArrNeg","ArrNeg17","ArrNeg_5","Temp2",22.3
"153","Orange",1075,2017,"ArrNeg","ArrNeg17","ArrNeg_6","Temp2",17.1
"154","Orange",1076,2017,"ArrNeg","ArrNeg17","ArrNeg_7","Temp2",21.6
"155","Yellow",1262,2017,"CINvaLib","CINvaLib17","CINvLib1","Temp2",NA
"156","Yellow",1256,2017,"CINvaLib","CINvaLib17","CINvLib2","Temp2",25
"157","Yellow",1048,2017,"CINvaLib","CINvaLib17","CINvLib3","Temp2",24.8
"158","Yellow",1030,2017,"CINvaLib","CINvaLib17","CINvLib4","Temp2",25
"159","Yellow",1227,2017,"CINvaLib","CINvaLib17","CINvLib5","Temp2",23.1
"160","Yellow",1151,2017,"CINvaLib","CINvaLib17","CINvLib6","Temp2",22.9
"161","Yellow",1150,2017,"CINvaLib","CINvaLib17","CINvLib7","Temp2",23.3
"162","Yellow",1150,2017,"CINvaLib","CINvaLib17","CINvLib8","Temp2",23.5
"163","Yellow",1168,2017,"CINvaLib","CINvaLib17","CINvLib9","Temp2",23.4
"164","Yellow",1207,2017,"CINvaLib","CINvaLib17","CINvLib10","Temp2",24.8
"165","Yellow",1194,2017,"CINvaLib","CINvaLib17","CINvLib11","Temp2",24.4
"166","Yellow",1150,2017,"CINvaLib","CINvaLib17","CINvLib12","Temp2",24.7
"167","Yellow",1169,2017,"NBI","NBI17","NBravo_1","Temp2",19.5
"168","Yellow",1170,2017,"NBI","NBI17","NBravo_2","Temp2",20.9
"169","Yellow",1186,2017,"NBI","NBI17","NBravo_3","Temp2",18.2
"170","Yellow",1162,2017,"NBI","NBI17","NBravo_4","Temp2",18.6
"171","Yellow",1162,2017,"NBI","NBI17","NBravo_5","Temp2",20
"172","Yellow",1142,2017,"NBI","NBI17","NBravo_6","Temp2",18.6
"173","Yellow",1181,2017,"NBI","NBI17","NBravo_7","Temp2",19.5
"174","Yellow",1184,2017,"NBI","NBI17","NBravo_8","Temp2",20.4
"175","Yellow",1136,2017,"NBI","NBI17","NBravo_9","Temp2",21.3
"176","Yellow",1116,2017,"NBI","NBI17","NBravo_10","Temp2",19.9
"177","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_1","Temp2",23.1
"178","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_2","Temp2",22.8
"179","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_3","Temp2",22.7
"180","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_4","Temp2",23.8
"181","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_5","Temp2",23.7
"182","Yellow",1296,2017,"LaLoma","LaLoma17","LaLom_6","Temp2",22.4
"183","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_7","Temp2",24
"184","Yellow",1309,2017,"LaLoma","LaLoma17","LaLom_8","Temp2",23.3
"185","Yellow",1305,2017,"LaLoma","LaLoma17","LaLom_9","Temp2",21.6
"186","Yellow",1310,2017,"LaLoma","LaLoma17","LaLom_10","Temp2",22.8
"187","Red",1509,2017,"RLFlor","RLFlor17","RLaFlor_1","Temp2",23.1
"188","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_2","Temp2",22.2
"189","Red",1509,2017,"RLFlor","RLFlor17","RLaFlor_3","Temp2",19.9
"190","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_4","Temp2",23.6
"191","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_5","Temp2",23.2
"192","Red",1512,2017,"RLFlor","RLFlor17","RLaFlor_6","Temp2",26.7
"193","Red",1516,2017,"RLFlor","RLFlor17","RLaFlor_7","Temp2",24.1
"194","Red",1519,2017,"RLFlor","RLFlor17","RLaFlor_8","Temp2",22
"195","Red",1520,2017,"RLFlor","RLFlor17","RLaFlor_9","Temp2",25.5
"196","Red",1520,2017,"RLFlor","RLFlor17","RLaFlor_10","Temp2",24.7
"197","Blue",2116,2017,"AmpLag","AmpLag17","Amp_Lag1","Temp2",24.8
"198","Blue",2115,2017,"AmpLag","AmpLag17","Amp_Lag2","Temp2",26.6
"199","Blue",2083,2017,"AmpLag","AmpLag17","Amp_Lag3","Temp2",24.8
"200","Blue",2083,2017,"AmpLag","AmpLag17","Amp_Lag4","Temp2",26.8
"201","Blue",2082,2017,"AmpLag","AmpLag17","Amp_Lag5","Temp2",26.3
"202","Blue",2125,2017,"AmpLag","AmpLag17","Amp_Lag6","Temp2",25.8
"203","Blue",2126,2017,"AmpLag","AmpLag17","Amp_Lag7","Temp2",25.3
"204","Blue",2122,2017,"AmpLag","AmpLag17","Amp_Lag8","Temp2",25.3
"205","Blue",2125,2017,"AmpLag","AmpLag17","Amp_Lag9","Temp2",24.7
"206","Blue",2103,2017,"AmpLag","AmpLag17","Amp_Lag10","Temp2",25.6
"207","Blue",2131,2017,"AmpLag","AmpLag17","Amp_Lag11","Temp2",18.2
"208","Blue",2130,2017,"AmpLag","AmpLag17","Amp_Lag12","Temp2",18.2
"209","Green",251,2017,"GNBII","GNBII17","GnalNBII_1","Temp3",22.9
"210","Green",264,2017,"GNBII","GNBII17","GnalNBII_2","Temp3",20.5
"211","Green",242,2017,"GNBII","GNBII17","GnalNBII_3","Temp3",19.9
"212","Green",250,2017,"GNBII","GNBII17","GnalNBII_4","Temp3",22.1
"213","Green",242,2017,"GNBII","GNBII17","GnalNBII_5","Temp3",20.3
"214","Green",263,2017,"GNBII","GNBII17","GnalNBII_6","Temp3",20.5
"215","Green",247,2017,"GNBII","GNBII17","GnalNBII_7","Temp3",20.8
"216","Green",230,2017,"GNBII","GNBII17","GnalNBII_8","Temp3",21.4
"217","Green",247,2017,"GNBII","GNBII17","GnalNBII_9","Temp3",22.1
"218","Green",247,2017,"GNBII","GNBII17","GnalNBII_10","Temp3",21.3
"219","Green",293,2017,"SatMor","SatMor17","SatMor_1","Temp3",21.9
"220","Green",310,2017,"SatMor","SatMor17","SatMor_2","Temp3",22.9
"221","Green",316,2017,"SatMor","SatMor17","SatMor_3","Temp3",21.9
"222","Green",314,2017,"SatMor","SatMor17","SatMor_4","Temp3",20.9
"223","Green",317,2017,"SatMor","SatMor17","SatMor_5","Temp3",23
"224","Green",312,2017,"SatMor","SatMor17","SatMor_6","Temp3",21.8
"225","Green",312,2017,"SatMor","SatMor17","SatMor_7","Temp3",22.4
"226","Green",305,2017,"SatMor","SatMor17","SatMor_8","Temp3",23.8
"227","Green",307,2017,"SatMor","SatMor17","SatMor_9","Temp3",20.8
"228","Green",307,2017,"SatMor","SatMor17","SatMor_10","Temp3",24
"229","Green",717,2017,"NvaLib","NvaLib17","NvaLib_1","Temp3",18.6
"230","Green",721,2017,"NvaLib","NvaLib17","NvaLib_2","Temp3",20.6
"231","Green",721,2017,"NvaLib","NvaLib17","NvaLib_3","Temp3",18.2
"232","Green",721,2017,"NvaLib","NvaLib17","NvaLib_4","Temp3",22.1
"233","Green",718,2017,"NvaLib","NvaLib17","NvaLib_5","Temp3",22.5
"234","Green",713,2017,"NvaLib","NvaLib17","NvaLib_6","Temp3",21
"235","Green",688,2017,"NvaLib","NvaLib17","NvaLib_7","Temp3",22.5
"236","Green",723,2017,"NvaLib","NvaLib17","NvaLib_8","Temp3",21.3
"237","Green",727,2017,"NvaLib","NvaLib17","NvaLib_9","Temp3",22.7
"238","Green",747,2017,"NvaLib","NvaLib17","NvaLib_10","Temp3",20.9
"239","Green",729,2017,"NvaLib","NvaLib17","NvaLib_11","Temp3",24.1
"240","Orange",794,2017,"PlanLib","PlanLib17","PlanLib_1","Temp3",19.8
"241","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_2","Temp3",21.4
"242","Orange",868,2017,"PlanLib","PlanLib17","PlanLib_3","Temp3",25
"243","Orange",921,2017,"PlanLib","PlanLib17","PlanLib_4","Temp3",21.5
"244","Orange",928,2017,"PlanLib","PlanLib17","PlanLib_5","Temp3",20
"245","Orange",930,2017,"PlanLib","PlanLib17","PlanLib_6","Temp3",22.6
"246","Orange",927,2017,"PlanLib","PlanLib17","PlanLib_7","Temp3",21.5
"247","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_8","Temp3",22.5
"248","Orange",909,2017,"PlanLib","PlanLib17","PlanLib_9","Temp3",19.5
"249","Orange",916,2017,"PlanLib","PlanLib17","PlanLib_10","Temp3",20
"250","Orange",922,2017,"PlanLib","PlanLib17","PlanLib_11","Temp3",18.8
"251","Orange",924,2017,"PlanLib","PlanLib17","PlanLib_12","Temp3",23.7
"252","Orange",1083,2017,"ArrNeg","ArrNeg17","ArrNeg_1","Temp3",23.2
"253","Orange",1093,2017,"ArrNeg","ArrNeg17","ArrNeg_2","Temp3",21.5
"254","Orange",1083,2017,"ArrNeg","ArrNeg17","ArrNeg_3","Temp3",20.2
"255","Orange",1093,2017,"ArrNeg","ArrNeg17","ArrNeg_4","Temp3",20.7
"256","Orange",1009,2017,"ArrNeg","ArrNeg17","ArrNeg_5","Temp3",21
"257","Orange",1075,2017,"ArrNeg","ArrNeg17","ArrNeg_6","Temp3",21.6
